country,code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Algeria,DZA,4.871,4.7296,4.5874,4.4448,4.3022,4.1599,4.0186,3.8797,3.7444,3.6136,3.4886,3.3704,3.2589,3.1535,3.0536,2.9578
Morocco,MAR,4.9631,4.7808,4.6175,4.4737,4.3465,4.2311,4.1217,4.0125,3.8986,3.777,3.6459,3.5057,3.36,3.2124,3.0646,2.9185
Guyana,GUY,4.8409,4.7382,4.6439,4.559,4.4835,4.418,4.3625,4.3155,4.2746,4.2375,4.2014,4.1634,4.1218,4.0753,4.0235,3.9665
Indonesia,IDN,5.1048,4.8713,4.6508,4.4425,4.2458,4.0605,3.8868,3.7246,3.5736,3.4332,3.303,3.1825,3.0714,2.9686,2.8731,2.7842
Micronesia,FSM,4.90320015,4.838999939,4.768700027,4.692200089,4.610300064,4.526100159,4.443500137,4.366500092,4.297200012,4.236299896,4.182799911,4.13390007,4.086100006,4.036399841,3.983800125,3.928099823
Guatemala,GTM,5.1929,4.9753,4.7712,4.579,4.3974,4.2264,4.0665,3.9182,3.7808,3.6527,3.5317,3.4156,3.3025,3.191,3.08,2.9694
Mongolia,MNG,5.933,5.5312,5.1504,4.8042,4.4954,4.223,3.9824,3.7647,3.5625,3.3727,3.1943,3.0287,2.8781,2.7437,2.6239,2.5169
Uzbekistan,UZB,6.4329,6.2339,6.0224,5.8046,5.5831,5.3567,5.1229,4.8811,4.6341,4.3875,4.1512,3.9359,3.7486,3.5932,3.4699,3.3756
Azerbaijan,AZE,7.2263,6.9342,6.6371,6.325,5.997,5.6559,5.3082,4.9667,4.6435,4.3461,4.0835,3.8625,3.6816,3.5374,3.4264,3.3424
Melanesia,OWID_MNS,6.9702,6.8352,6.7048,6.5797,6.4604,6.3476,6.242,6.1431,6.0499,5.9613,5.8751,5.7894,5.7023,5.613,5.521,5.4265
Solomon Islands,SLB,7.5464,7.1174,6.7053,6.3124,5.9411,5.5928,5.2671,4.9619,4.6757,4.4085,4.1614,3.9361,3.7328,3.551,3.3889,3.2445
Kiribati,KIR,7.0692,6.925,6.8013,6.697,6.6094,6.5355,6.4717,6.4136,6.3564,6.2961,6.2283,6.1501,6.0619,5.9648,5.8594,5.7475
World,OWID_WRL,7.6526,7.3999,7.14,6.8775,6.6167,6.3613,6.1138,5.8754,5.6477,5.4332,5.2349,5.0546,4.8918,4.7454,4.614,4.4959
Western Sahara,ESH,7.8592,7.5022,7.1531,6.8145,6.488,6.1737,5.8703,5.5765,5.2922,5.0193,4.7609,4.521,4.3023,4.1057,3.9308,3.7761
Nepal,NPL,8.0961,7.6202,7.1711,6.7491,6.3541,5.9867,5.6474,5.3349,5.0471,4.7819,4.5364,4.3082,4.0951,3.8949,3.7061,3.5281
Bhutan,BTN,8.3853,7.777,7.2003,6.6724,6.2011,5.7883,5.4285,5.1069,4.8109,4.5358,4.2789,4.0405,3.8229,3.6266,3.4494,3.2891
Papua New Guinea,PNG,7.5653,7.4354,7.3097,7.1884,7.0718,6.9613,6.858,6.762,6.6724,6.5876,6.5051,6.4218,6.3351,6.2436,6.1467,6.0448
Turkmenistan,TKM,7.9754,7.8142,7.6494,7.4729,7.2827,7.0782,6.8616,6.64,6.4209,6.2093,6.0117,5.8341,5.6779,5.5428,5.4277,5.3295
Bangladesh,BGD,8.7199,8.2118,7.7265,7.2673,6.836,6.4326,6.0552,5.7004,5.3655,5.0501,4.7559,4.4853,4.24,4.0199,3.8234,3.6479
Sao Tome and Principe,STP,8.019,7.9018,7.7606,7.5956,7.4104,7.2147,7.0215,6.8435,6.6897,6.5632,6.4632,6.3841,6.315,6.2473,6.177,6.1022
Namibia,NAM,7.9649,7.9169,7.8035,7.6194,7.3652,7.0485,6.6846,6.2993,5.9172,5.5536,5.2221,4.9303,4.674,4.4489,4.2543,4.0874
Myanmar,MMR,8.2948,8.0751,7.8667,7.6698,7.4827,7.2993,7.1115,6.9141,6.7057,6.4887,6.2705,6.0614,5.8715,5.7072,5.5704,5.4593
South Africa,ZAF,7.6931,7.8371,7.928,7.9572,7.915,7.786,7.5573,7.237,6.8426,6.3936,5.9189,5.4503,5.0151,4.6347,4.3223,4.0828
India,IND,8.9614,8.6144,8.2705,7.9322,7.6014,7.2793,6.9663,6.6629,6.3702,6.0902,5.8263,5.5817,5.3575,5.1534,4.9685,4.8003
Eritrea,ERI,9.2278,8.7253,8.2906,7.9144,7.5913,7.3146,7.076,6.8635,6.6648,6.4696,6.2681,6.054,5.8279,5.5914,5.3442,5.0881
Tajikistan,TJK,9.0151,8.7127,8.3893,8.0397,7.6661,7.2746,6.8751,6.4828,6.1113,5.7694,5.4658,5.2058,4.9854,4.7995,4.6442,4.5138
